customerid,recency,frequency,monetary,first_purchase,last_purchase,total_items,r_score,f_score,m_score,rfm_score,customer_segment
12403,50,1,427.7,2011-10-21 10:51:00,2011-10-21 10:51:00,96,3,1,2,6,Needs Attention
12405,149,1,1710.39,2011-07-14 08:52:00,2011-07-14 08:52:00,857,2,1,4,7,Lost Customers
12406,22,2,3415.3,2011-06-09 10:23:00,2011-11-17 19:22:00,1818,4,2,5,11,Potential Loyalists
12407,50,5,1708.1200000000001,2011-03-20 13:21:00,2011-10-21 10:11:00,1416,3,4,4,11,Loyal Customers
12408,33,5,2888.55,2011-03-24 14:46:00,2011-11-07 12:27:00,1409,4,4,5,13,Champions
12409,79,3,11072.67,2011-06-10 12:19:00,2011-09-22 10:38:00,5551,2,3,5,10,At Risk
12410,309,2,693.3299999999999,2011-02-04 10:38:00,2011-02-04 10:39:00,211,1,2,3,6,Lost Customers
12412,75,3,1226.88,2011-06-23 13:51:00,2011-09-26 10:16:00,829,2,3,4,9,At Risk
12413,67,3,758.1,2011-01-06 16:12:00,2011-10-04 09:00:00,286,3,3,3,9,Needs Attention
12414,217,3,562.41,2011-02-02 14:51:00,2011-05-06 14:51:00,300,1,3,3,7,At Risk
12415,24,21,124914.53,2011-01-06 11:12:00,2011-11-15 14:22:00,77374,4,5,5,14,Champions
12417,3,9,3649.1,2010-12-17 11:51:00,2011-12-06 14:52:00,1552,5,5,5,15,Champions
12418,113,1,668.58,2011-08-19 11:08:00,2011-08-19 11:08:00,407,2,1,3,6,Lost Customers
12420,64,1,600.39,2011-10-07 08:55:00,2011-10-07 08:55:00,345,3,1,3,7,Needs Attention
12421,16,4,807.04,2011-01-24 15:09:00,2011-11-24 09:07:00,484,4,4,3,11,Loyal Customers
12422,96,3,803.5600000000001,2011-01-19 09:13:00,2011-09-05 09:48:00,370,2,3,3,8,At Risk
12423,1,8,1859.31,2010-12-21 10:54:00,2011-12-09 10:10:00,1339,5,5,4,14,Champions
12424,163,2,1760.96,2011-06-30 12:06:00,2011-06-30 12:06:00,740,2,2,4,8,Lost Customers
12425,78,1,777.2,2011-09-22 17:31:00,2011-09-22 17:31:00,496,2,1,3,6,Lost Customers
12426,195,1,582.73,2011-05-29 12:26:00,2011-05-29 12:26:00,258,1,1,3,5,Lost Customers
12427,22,3,825.8,2010-12-03 10:44:00,2011-11-18 08:56:00,533,4,3,3,10,Potential Loyalists
12428,26,9,7956.46,2011-03-01 09:33:00,2011-11-14 08:22:00,3536,4,5,5,14,Champions
12429,9,4,3750.4,2010-12-09 12:05:00,2011-11-30 17:22:00,1557,5,4,5,14,Champions
12430,43,1,256.4,2011-10-27 15:09:00,2011-10-27 15:09:00,117,3,1,2,6,Needs Attention
12431,36,15,6487.45,2010-12-01 10:03:00,2011-11-04 11:55:00,2906,3,5,5,13,Loyal Customers
12432,43,5,5059.32,2011-06-20 13:27:00,2011-10-28 11:43:00,1801,3,4,5,12,Loyal Customers
12433,1,7,13375.87,2010-12-01 13:24:00,2011-12-09 10:02:00,11071,5,5,5,15,Champions
12434,85,2,806.14,2011-03-24 13:05:00,2011-09-16 12:38:00,394,2,2,3,7,Lost Customers
12435,80,2,7829.89,2011-03-17 07:40:00,2011-09-21 09:06:00,2055,2,2,5,9,Lost Customers
12436,100,1,509.01,2011-09-01 12:09:00,2011-09-01 12:09:00,211,2,1,3,6,Lost Customers
12437,2,18,4951.41,2011-01-12 14:13:00,2011-12-08 11:35:00,2922,5,5,5,15,Champions
12438,14,2,2906.85,2011-07-22 13:29:00,2011-11-25 13:28:00,1180,4,2,5,11,Potential Loyalists
12441,367,1,173.55,2010-12-08 10:45:00,2010-12-08 10:45:00,121,1,1,1,3,Lost Customers
12442,3,1,172.06,2011-12-06 14:22:00,2011-12-06 14:22:00,182,5,1,1,7,Potential Loyalists
12444,21,5,5005.46,2011-06-21 14:00:00,2011-11-18 13:23:00,1153,4,4,5,13,Champions
12445,22,1,133.4,2011-11-17 18:43:00,2011-11-17 18:43:00,62,4,1,1,6,Potential Loyalists
12446,58,1,1002.3100000000001,2011-10-13 12:50:00,2011-10-13 12:50:00,351,3,1,4,8,Needs Attention
12447,243,1,476.49,2011-04-10 13:25:00,2011-04-10 13:25:00,190,1,1,2,4,Lost Customers
12448,44,1,449.45,2011-10-26 13:46:00,2011-10-26 13:46:00,243,3,1,2,6,Needs Attention
12449,22,4,4067.29,2011-06-05 15:37:00,2011-11-17 13:46:00,1553,4,4,5,13,Champions
12450,156,2,197.88,2011-06-19 14:36:00,2011-07-06 14:41:00,128,2,2,1,5,Lost Customers
12451,11,5,9035.52,2011-01-19 09:05:00,2011-11-29 08:40:00,6575,5,4,5,14,Champions
12452,17,2,430.57,2011-11-23 08:05:00,2011-11-23 10:28:00,185,4,2,2,8,Potential Loyalists
12453,134,1,707.09,2011-07-28 14:08:00,2011-07-28 14:08:00,473,2,1,3,6,Lost Customers
12454,56,1,3528.34,2011-10-14 17:13:00,2011-10-14 17:13:00,1006,3,1,5,9,Needs Attention
12455,73,6,2466.86,2011-02-16 09:56:00,2011-09-27 15:31:00,2089,2,4,5,11,At Risk
12456,44,3,3181.04,2011-03-30 09:12:00,2011-10-26 14:41:00,1633,3,3,5,11,Needs Attention
12457,66,7,2363.23,2011-04-14 18:57:00,2011-10-04 13:13:00,843,3,5,5,13,Loyal Customers
12458,71,2,947.4,2011-02-28 10:55:00,2011-09-29 15:25:00,506,3,2,4,9,Needs Attention
12461,94,2,826.88,2011-07-08 10:23:00,2011-09-06 16:57:00,287,2,2,3,7,Lost Customers
12462,19,2,1189.59,2011-02-09 14:44:00,2011-11-21 09:11:00,536,4,2,4,10,Potential Loyalists
12463,53,4,1344.78,2011-04-12 12:47:00,2011-10-17 13:44:00,776,3,4,4,11,Loyal Customers
12464,10,8,1212.05,2011-02-03 13:30:00,2011-11-29 13:33:00,112,5,5,4,14,Champions
12465,17,2,742.1899999999999,2011-06-23 13:37:00,2011-11-22 16:34:00,479,4,2,3,9,Potential Loyalists
12468,188,2,729.5400000000001,2011-01-27 13:29:00,2011-06-05 11:36:00,366,1,2,3,6,Lost Customers
12471,2,30,19824.05,2010-12-10 09:35:00,2011-12-07 15:43:00,8212,5,5,5,15,Champions
12472,32,7,6572.11,2010-12-05 14:19:00,2011-11-07 14:01:00,4148,4,5,5,14,Champions
12473,29,5,3938.5499999999997,2011-06-01 10:15:00,2011-11-10 13:46:00,2439,4,4,5,13,Champions
12474,17,18,7375.79,2011-01-14 10:06:00,2011-11-22 14:39:00,4847,4,5,5,14,Champions
12475,54,1,723.38,2011-10-17 10:10:00,2011-10-17 10:10:00,535,3,1,3,7,Needs Attention
12476,16,11,6816.42,2010-12-13 14:39:00,2011-11-24 12:40:00,2408,4,5,5,14,Champions
12477,23,6,13219.74,2011-02-11 12:45:00,2011-11-17 09:51:00,3653,4,4,5,13,Champions
12478,4,1,680.99,2011-12-06 09:56:00,2011-12-06 09:56:00,236,5,1,3,9,Potential Loyalists
12479,11,1,527.2,2011-11-28 13:26:00,2011-11-28 13:26:00,385,5,1,3,9,Potential Loyalists
12480,28,4,3281.63,2011-01-07 15:27:00,2011-11-11 14:52:00,1707,4,4,5,13,Champions
12481,23,10,5596.32,2010-12-09 10:13:00,2011-11-17 08:29:00,3304,4,5,5,14,Champions
12483,17,8,2484.98,2011-01-04 14:20:00,2011-11-22 17:02:00,1110,4,5,5,14,Champions
12484,33,6,4541.72,2011-01-07 14:04:00,2011-11-07 11:37:00,2191,4,4,5,13,Champions
12488,10,3,1298.66,2011-09-25 10:34:00,2011-11-30 08:50:00,529,5,3,4,12,Potential Loyalists
12489,336,1,334.93,2011-01-07 13:13:00,2011-01-07 13:13:00,105,1,1,2,4,Lost Customers
12490,5,10,5417.93,2011-01-14 09:13:00,2011-12-04 16:07:00,3064,5,5,5,15,Champions
12491,39,1,460.40000000000003,2011-11-01 12:18:00,2011-11-01 12:18:00,260,3,1,2,6,Needs Attention
12492,63,2,263.21000000000004,2011-08-26 14:51:00,2011-10-07 15:15:00,192,3,2,2,7,Needs Attention
12493,166,2,433.74,2011-05-26 14:53:00,2011-06-27 10:17:00,207,2,2,2,6,Lost Customers
12494,16,7,1246.1000000000001,2010-12-09 11:31:00,2011-11-24 09:34:00,707,4,5,4,13,Champions
12497,82,1,1043.1,2011-09-19 12:29:00,2011-09-19 12:29:00,1236,2,1,4,7,Lost Customers
12498,21,3,403.70000000000005,2011-10-13 09:30:00,2011-11-18 12:53:00,159,4,3,2,9,Potential Loyalists
12500,23,11,4257.82,2011-01-10 09:48:00,2011-11-16 16:20:00,2678,4,5,5,14,Champions
12501,337,1,2169.39,2011-01-07 12:28:00,2011-01-07 12:28:00,1783,1,1,5,7,Lost Customers
12502,96,5,3723.87,2011-02-03 10:41:00,2011-09-05 11:52:00,820,2,4,5,11,At Risk
12504,18,2,482.04999999999995,2011-11-09 14:56:00,2011-11-21 16:02:00,90,4,2,2,8,Potential Loyalists
12506,233,1,73.5,2011-04-21 08:54:00,2011-04-21 08:54:00,23,1,1,1,3,Lost Customers
12507,134,3,1304.81,2011-02-14 09:24:00,2011-07-28 17:09:00,894,2,3,4,9,At Risk
12508,26,2,398.27,2011-11-10 16:27:00,2011-11-13 15:37:00,272,4,2,2,8,Potential Loyalists
12509,284,1,176.5,2011-02-28 14:45:00,2011-02-28 14:45:00,55,1,1,1,3,Lost Customers
12510,143,2,982.5699999999999,2011-01-18 14:04:00,2011-07-20 10:15:00,353,2,2,4,8,Lost Customers
12512,66,2,138.03,2011-10-04 14:53:00,2011-10-04 14:55:00,99,3,2,1,6,Needs Attention
12513,113,1,612.29,2011-08-19 10:51:00,2011-08-19 10:51:00,462,2,1,3,6,Lost Customers
12514,267,1,1017.68,2011-03-17 16:38:00,2011-03-17 16:38:00,440,1,1,4,6,Lost Customers
12515,353,1,383.7,2010-12-21 15:43:00,2010-12-21 15:43:00,131,1,1,2,4,Lost Customers
12516,78,2,1312.06,2011-06-12 11:37:00,2011-09-23 09:13:00,875,2,2,4,8,Lost Customers
12517,28,5,2502.84,2011-06-02 15:13:00,2011-11-11 14:04:00,1371,4,4,5,13,Champions
12518,1,5,2056.89,2011-08-21 13:18:00,2011-12-09 10:13:00,1318,5,4,4,13,Champions
12519,64,1,340.84,2011-10-07 09:26:00,2011-10-07 09:26:00,183,3,1,2,6,Needs Attention
12520,79,5,2634.26,2011-03-11 11:35:00,2011-09-21 15:23:00,1439,2,4,5,11,At Risk
12521,143,1,599.68,2011-07-20 10:51:00,2011-07-20 10:51:00,309,2,1,3,6,Lost Customers
12522,39,2,192.72,2011-10-19 14:41:00,2011-10-31 15:30:00,194,3,2,1,6,Needs Attention
12523,19,11,1789.77,2011-01-12 09:43:00,2011-11-20 12:55:00,865,4,5,4,13,Champions
12524,9,8,4485.72,2011-01-10 10:35:00,2011-11-30 15:31:00,3699,5,5,5,15,Champions
12526,1,3,1316.66,2011-09-06 14:19:00,2011-12-09 12:09:00,632,5,3,4,12,Potential Loyalists
12527,82,3,348.71000000000004,2011-01-18 12:05:00,2011-09-19 11:55:00,234,2,3,2,7,At Risk
12528,9,6,1933.48,2011-01-31 09:05:00,2011-11-30 14:40:00,756,5,5,4,14,Champions
12530,60,4,1662.28,2011-01-07 10:04:00,2011-10-11 12:34:00,913,3,4,4,11,Loyal Customers
12531,15,1,125.22,2011-11-25 11:12:00,2011-11-25 11:12:00,45,4,1,1,6,Potential Loyalists
12532,30,1,349.83000000000004,2011-11-09 13:47:00,2011-11-09 13:47:00,153,4,1,2,7,Potential Loyalists
12534,131,1,1089.18,2011-08-01 10:26:00,2011-08-01 10:26:00,651,2,1,4,7,Lost Customers
12535,92,2,716.35,2011-06-06 12:47:00,2011-09-09 08:48:00,219,2,2,3,7,Lost Customers
12536,43,3,12601.830000000002,2011-10-11 14:52:00,2011-10-27 14:20:00,2803,3,3,5,11,Needs Attention
12538,29,1,363.95,2011-11-10 17:16:00,2011-11-10 17:16:00,191,4,1,2,7,Potential Loyalists
12539,22,4,5568.35,2011-01-10 09:11:00,2011-11-17 13:30:00,2067,4,4,5,13,Champions
12540,20,17,13400.24,2010-12-13 09:39:00,2011-11-20 11:31:00,6685,4,5,5,14,Champions
12541,30,3,981.18,2011-03-04 09:32:00,2011-11-10 10:40:00,680,4,3,4,11,Potential Loyalists
12544,36,1,372.7,2011-11-03 16:15:00,2011-11-03 16:15:00,136,3,1,2,6,Needs Attention
12545,75,2,1000.39,2011-03-25 12:04:00,2011-09-25 13:39:00,523,2,2,4,8,Lost Customers
12546,47,2,1161.5,2011-09-23 09:44:00,2011-10-24 12:09:00,633,3,2,4,9,Needs Attention
12547,198,2,207.79999999999998,2011-03-04 12:46:00,2011-05-26 12:38:00,134,1,2,1,4,Lost Customers
12548,166,1,95.19999999999999,2011-06-26 15:35:00,2011-06-26 15:35:00,49,2,1,1,4,Lost Customers
12550,79,1,964.83,2011-09-21 14:35:00,2011-09-21 14:35:00,569,2,1,4,7,Lost Customers
12551,358,1,168.0,2010-12-17 11:23:00,2010-12-17 11:23:00,100,1,1,1,3,Lost Customers
12552,39,2,437.82,2011-10-31 12:11:00,2011-11-01 10:02:00,88,3,2,2,7,Needs Attention
12553,8,10,3692.28,2011-01-14 10:42:00,2011-12-01 16:38:00,1965,5,5,5,15,Champions
12556,50,2,603.71,2011-07-11 13:35:00,2011-10-20 13:06:00,358,3,2,3,8,Needs Attention
12557,16,5,11990.960000000001,2010-12-03 12:20:00,2011-11-23 16:59:00,4384,4,4,5,13,Champions
12558,8,1,269.96,2011-12-02 10:41:00,2011-12-02 10:41:00,196,5,1,2,8,Potential Loyalists
12559,311,2,561.71,2011-01-24 10:12:00,2011-02-02 09:49:00,283,1,2,3,6,Lost Customers
12560,5,3,2134.01,2011-07-19 15:55:00,2011-12-04 13:54:00,1110,5,3,5,13,Potential Loyalists
12561,303,1,238.85,2011-02-10 11:39:00,2011-02-10 11:39:00,177,1,1,1,3,Lost Customers
12562,8,7,3781.7400000000002,2011-05-25 12:44:00,2011-12-01 17:20:00,1779,5,5,5,15,Champions
12564,261,1,456.9,2011-03-23 14:55:00,2011-03-23 14:55:00,133,1,1,2,4,Lost Customers
12565,289,1,145.92,2011-02-24 10:34:00,2011-02-24 10:34:00,80,1,1,1,3,Lost Customers
12566,86,1,351.65,2011-09-14 14:30:00,2011-09-14 14:30:00,265,2,1,2,5,Lost Customers
12567,23,10,9401.28,2010-12-05 11:57:00,2011-11-17 11:02:00,4305,4,5,5,14,Champions
12569,2,32,4124.69,2011-04-01 13:47:00,2011-12-07 16:24:00,1801,5,5,5,15,Champions
12571,40,2,519.61,2011-08-10 12:35:00,2011-10-31 10:19:00,523,3,2,3,8,Needs Attention
12572,9,2,1020.42,2011-10-19 08:20:00,2011-12-01 09:20:00,452,5,2,4,11,Potential Loyalists
12573,227,1,160.54000000000002,2011-04-26 15:52:00,2011-04-26 15:52:00,84,1,1,1,3,Lost Customers
12574,316,1,218.45,2011-01-28 09:20:00,2011-01-28 09:20:00,61,1,1,1,3,Lost Customers
12576,36,5,1315.83,2011-02-08 11:31:00,2011-11-04 10:11:00,967,3,4,4,11,Loyal Customers
12577,35,3,657.8,2010-12-15 16:21:00,2011-11-04 13:24:00,472,3,3,3,9,Needs Attention
12578,21,2,2794.51,2011-01-13 15:34:00,2011-11-18 13:30:00,1196,4,2,5,11,Potential Loyalists
12579,78,1,440.42,2011-09-22 17:15:00,2011-09-22 17:15:00,285,2,1,2,5,Lost Customers
12580,247,1,415.7,2011-04-07 10:24:00,2011-04-07 10:24:00,238,1,1,2,4,Lost Customers
12581,40,1,197.71,2011-10-31 08:56:00,2011-10-31 08:56:00,161,3,1,1,5,Needs Attention
12582,239,2,511.36,2011-02-24 11:42:00,2011-04-15 08:45:00,300,1,2,3,6,Lost Customers
12583,3,15,7281.38,2010-12-01 08:45:00,2011-12-07 08:07:00,5060,5,5,5,15,Champions
12584,4,9,2338.15,2011-03-04 15:15:00,2011-12-06 09:35:00,416,5,5,5,15,Champions
12585,234,2,2040.1,2010-12-23 12:58:00,2011-04-19 13:39:00,1279,1,2,4,7,Lost Customers
12586,17,1,196.94000000000003,2011-11-22 16:24:00,2011-11-22 16:24:00,79,4,1,1,6,Potential Loyalists
12587,8,1,144.0,2011-12-02 12:47:00,2011-12-02 12:47:00,51,5,1,1,7,Potential Loyalists
12588,39,1,214.89999999999998,2011-10-31 15:01:00,2011-10-31 15:01:00,53,3,1,1,5,Needs Attention
12589,29,2,646.68,2011-07-18 12:05:00,2011-11-11 10:19:00,306,4,2,3,9,Potential Loyalists
12590,211,2,9864.26,2011-05-12 14:46:00,2011-05-12 14:52:00,4283,1,2,5,8,Lost Customers
12591,317,1,452.84999999999997,2011-01-26 14:35:00,2011-01-26 14:35:00,228,1,1,2,4,Lost Customers
12592,92,2,437.6,2011-05-10 13:44:00,2011-09-08 15:04:00,290,2,2,2,6,Lost Customers
12593,109,3,418.09999999999997,2011-05-05 09:29:00,2011-08-23 12:43:00,206,2,3,2,7,At Risk
12594,38,10,3338.2200000000003,2011-01-21 09:52:00,2011-11-02 12:20:00,1777,3,5,5,13,Loyal Customers
12596,51,2,618.27,2011-04-11 13:22:00,2011-10-19 13:02:00,474,3,2,3,8,Needs Attention
12597,19,4,3811.22,2011-03-16 14:00:00,2011-11-20 13:33:00,2236,4,4,5,13,Champions
12598,10,8,3023.08,2011-02-28 11:58:00,2011-11-30 12:18:00,1964,5,5,5,15,Champions
12599,29,7,1032.58,2011-02-08 13:28:00,2011-11-10 13:34:00,956,4,5,4,13,Champions
12600,29,10,2599.04,2010-12-03 12:57:00,2011-11-11 10:29:00,774,4,5,5,14,Champions
12601,190,5,577.0600000000001,2011-01-11 10:38:00,2011-06-03 10:17:00,245,1,4,3,8,At Risk
12602,59,1,153.12,2011-10-12 11:22:00,2011-10-12 11:22:00,162,3,1,1,5,Needs Attention
12603,22,1,739.1999999999999,2011-11-18 10:42:00,2011-11-18 10:42:00,63,4,1,3,8,Potential Loyalists
12604,79,2,254.18,2011-03-23 12:06:00,2011-09-21 14:08:00,201,2,2,2,6,Lost Customers
12607,60,1,1579.51,2011-10-10 16:06:00,2011-10-10 16:06:00,1228,3,1,4,8,Needs Attention
12609,78,3,1126.85,2011-01-25 15:13:00,2011-09-22 16:34:00,648,2,3,4,9,At Risk
12610,23,5,2099.54,2011-08-05 13:52:00,2011-11-17 09:34:00,1049,4,4,5,13,Champions
12611,52,1,1193.32,2011-10-18 13:12:00,2011-10-18 13:12:00,846,3,1,4,8,Needs Attention
12612,74,1,704.0400000000001,2011-09-26 15:35:00,2011-09-26 15:35:00,262,2,1,3,6,Lost Customers
12613,57,5,3344.38,2011-03-22 15:42:00,2011-10-13 14:59:00,1644,3,4,5,12,Loyal Customers
12614,278,1,315.6,2011-03-07 10:22:00,2011-03-07 10:22:00,76,1,1,2,4,Lost Customers
12615,2,4,2291.19,2011-06-24 13:35:00,2011-12-07 15:02:00,1376,5,4,5,14,Champions
12616,95,2,713.3,2011-02-15 14:17:00,2011-09-05 15:17:00,284,2,2,3,7,Lost Customers
12617,29,1,355.53,2011-11-10 14:39:00,2011-11-10 14:39:00,213,4,1,2,7,Potential Loyalists
12618,22,1,177.31,2011-11-18 11:10:00,2011-11-18 11:10:00,96,4,1,1,6,Potential Loyalists
12619,16,9,3641.24,2011-03-31 13:10:00,2011-11-23 14:52:00,3378,4,5,5,14,Champions
12620,15,3,1339.41,2011-05-19 12:10:00,2011-11-25 10:20:00,1181,4,3,4,11,Potential Loyalists
12621,2,20,13689.67,2010-12-09 10:16:00,2011-12-08 11:25:00,7440,5,5,5,15,Champions
12622,232,1,180.1,2011-04-21 16:39:00,2011-04-21 16:39:00,69,1,1,1,3,Lost Customers
12623,276,1,305.1,2011-03-08 13:50:00,2011-03-08 13:50:00,191,1,1,2,4,Lost Customers
12624,106,2,641.13,2011-06-15 12:34:00,2011-08-25 15:04:00,355,2,2,3,7,Lost Customers
12625,212,2,2683.82,2011-01-24 13:27:00,2011-05-12 09:54:00,1612,1,2,5,8,Lost Customers
12626,23,9,6620.48,2011-01-17 11:01:00,2011-11-16 16:06:00,3453,4,5,5,14,Champions
12627,11,7,4478.53,2011-07-22 13:59:00,2011-11-29 12:07:00,2752,5,5,5,15,Champions
12628,4,3,786.46,2011-10-06 09:28:00,2011-12-05 13:15:00,448,5,3,3,11,Potential Loyalists
12630,10,2,1270.88,2011-10-27 10:41:00,2011-11-30 10:48:00,548,5,2,4,11,Potential Loyalists
12631,57,1,640.5,2011-10-13 13:53:00,2011-10-13 13:53:00,236,3,1,3,7,Needs Attention
12633,59,4,2163.98,2011-02-25 08:44:00,2011-10-12 11:40:00,1162,3,4,5,12,Loyal Customers
12635,90,2,1689.18,2011-07-08 08:43:00,2011-09-11 11:04:00,1172,2,2,4,8,Lost Customers
12637,67,8,6021.9,2011-01-20 10:47:00,2011-10-03 13:46:00,3002,3,5,5,13,Loyal Customers
12638,33,1,671.69,2011-11-06 13:11:00,2011-11-06 13:11:00,577,4,1,3,8,Potential Loyalists
12639,239,1,486.1,2011-04-15 12:48:00,2011-04-15 12:48:00,201,1,1,2,4,Lost Customers
12640,24,3,1174.58,2011-09-19 12:01:00,2011-11-16 11:52:00,311,4,3,4,11,Potential Loyalists
12641,115,1,185.9,2011-08-16 13:26:00,2011-08-16 13:26:00,72,2,1,1,4,Lost Customers
12642,25,3,1013.26,2011-08-24 09:23:00,2011-11-14 15:03:00,552,4,3,4,11,Potential Loyalists
12643,128,6,3344.64,2011-01-11 11:48:00,2011-08-03 12:56:00,1808,2,5,5,12,At Risk
12644,130,1,477.91,2011-08-02 10:33:00,2011-08-02 10:33:00,325,2,1,2,5,Lost Customers
12645,34,4,1775.18,2011-01-27 13:08:00,2011-11-06 12:38:00,1084,3,4,4,11,Loyal Customers
12646,5,2,1346.97,2011-10-21 12:52:00,2011-12-05 10:14:00,897,5,2,4,11,Potential Loyalists
12647,22,12,3722.82,2010-12-05 14:02:00,2011-11-17 12:56:00,1431,4,5,5,14,Champions
12648,155,1,318.05,2011-07-08 11:55:00,2011-07-08 11:55:00,160,2,1,2,5,Lost Customers
12649,107,3,623.51,2011-05-11 14:37:00,2011-08-24 14:41:00,586,2,3,3,8,At Risk
12650,3,1,314.44,2011-12-06 16:34:00,2011-12-06 16:34:00,254,5,1,2,8,Potential Loyalists
12651,335,1,114.0,2011-01-09 12:46:00,2011-01-09 12:46:00,78,1,1,1,3,Lost Customers
12652,331,1,919.98,2011-01-12 15:00:00,2011-01-12 15:00:00,505,1,1,3,5,Lost Customers
12653,149,2,2209.85,2011-02-16 10:53:00,2011-07-14 10:41:00,919,2,2,5,9,Lost Customers
